CODE,TITLE,DATE
ASM:FB,AMAZING SPIDER-MAN: FAMILY BUSINESS,2014
ASM:FI,AMAZING SPIDER-MAN: FEAR ITSELF,2009
ASM:HIT&RUN,AMAZING SPIDER-MAN: HIT AND RUN,1993
ASM:MEAL DIG,AMAZING SPIDER-MAN: A MEAL TO DIE FOR DIGITAL COMIC,2011
ASM:OH,AMAZING SPIDER-MAN: ORIGIN OF THE HUNTER,2010
ASM:RYV,AMAZING SPIDER-MAN: RENEW YOUR VOWS,2015
ASM:RYV2,AMAZING SPIDER-MAN: RENEW YOUR VOWS VOL. 2,2017-2018
ASM:SE,AMAZING SPIDER-MAN: SPIRITS OF THE EARTH,1991
ASM:SH,AMAZING SPIDER-MAN: SOUL OF THE HUNTER,1992
ASM:SHWEEN,AMAZING SPIDER-MAN: SHORT HALLOWEEN,2009
ASM:SICE,AMAZING SPIDER-MAN: SKATING ON THIN ICE,1993
ASM:SWING,AMAZING SPIDER-MAN: SWING SHIFT,2008
ASM:VINCA,AMAZING SPIDER-MAN: VENOM INC. ALPHA,2018
ASM:VINCO,AMAZING SPIDER-MAN: VENOM INC. OMEGA,2018
ASME,AMAZING SPIDER-MAN EXTRA,2008-2009
ASMF,AMAZING SPIDER-MAN FAMILY,2008-2009
ASMP:ANTIV,AMAZING SPIDER-MAN PRESENTS: ANTI-VENOM,2009-2010
ASMP:ASON,AMAZING SPIDER-MAN PRESENTS: AMERICAN SON,2010
ASMP:JPOT,AMAZING SPIDER-MAN PRESENTS: JACKPOT,2010
ASOFF:WPH,AVENGERS STANDOFF: WELCOME TO PLEASANT HILL,2016
ASOFF:APHA,AVENGERS STANDOFF: ASSAULT ON PLEASANT HILL ALPHA,2016
ASOFF:APHO,AVENGERS STANDOFF: ASSAULT ON PLEASANT HILL OMEGA,2016
ASOLO,AVENGERS SOLO,2011-2012
ASPOT,AVENGERS SPOTLIGHT,1989-1991
ASSNS,ASSASSINS,1996
ASTON,ASTONISHING,1951-1957
ASTONANT,ASTONISHING ANT-MAN,2015-2016
ASTONSM&W,ASTONISHING SPIDER-MAN & WOLVERINE,2010-2011
ASTONT,ASTONISHING THOR,2011
ASTONX,ASTONISHING X-MEN,1995
ASTONX2,ASTONISHING X-MEN VOL. 2,1999
ASTONX3,ASTONISHING X-MEN VOL. 3,2004-2013
ASTONX4,ASTONISHING X-MEN VOL. 4,2017-2019
ASTONX:X,ASTONISHING X-MEN: XENOGENESIS,2010-2011
ASTRIKE,AVENGERS STRIKE FILE,1994
AT,ASTONISHING TALES,1970-1976
AT2,ASTONISHING TALES VOL. 2,2009
AT:TG DIG,ASTONISHING TALES: THING DIGITAL COMIC,2009
ATCRIMEC,ALL TRUE CRIME CASES,1948-1952
ATLAS,ATLAS,2010
ATWO:WM&BEAST,AVENGERS TWO: WONDER MAN & BEAST,2000
AUND,AVENGERS UNDERCOVER,2014
AUP,AVENGERS UNPLUGGED,1995-1996
AV.ATLAS,AVENGERS VS. ATLAS,2010
AV.PETA,AVENGERS VS. PET AVENGERS,2010-2011
AV:CS,AVATAARS: COVENANT OF THE SHIELD,2000
AVENGSM,AVENGING SPIDER-MAN,2012-2013
AVX,AVENGERS VS. X-MEN,2012
AVX:C,AVX: CONSEQUENCES,2012-2013
AVXINF,AVENGERS VS. X-MEN INFINITE,2012
AVXVS,AVX VS.,2012
AWASTE,AVENGERS OF THE WASTELANDS,2020
AWC,AVENGERS WEST COAST,1989-1994
AWORLD,AVENGERS WORLD,2014-
AX,AMAZING X-MEN,1995
AX2,AMAZING X-MEN VOL. 2,2013-2015
AXIS:CRNG,AXIS: CARNAGE,2015
AXIS:HOBG,AXIS: HOBGOBLIN,2015
AXIS:REV,AXIS: REVOLUTIONS,2015
AYOM/,A YEAR OF MARVELS TPB,2017
AYOM/:A,A YEAR OF MARVELS: AMAZING,2016
AYOM/:I,A YEAR OF MARVELS: INCREDIBLE,2016
AYOM/:UNB,A YEAR OF MARVELS: UNBEATABLE,2016
AYOM/:UNC,A YEAR OF MARVELS: UNCANNY,2016
AYOM/:UNS,A YEAR OF MARVELS: UNSTOPPABLE,2016
B&BEAST,BEAUTY & BEAST,1984-1985
B-S,B-SIDES,2002-2003
BACKLASH/SM,BACKLASH/SPIDER-MAN,1996
BALLISTIC/W,BALLISTIC/WOLVERINE,1997
BAT-T,BAT-THING,1996
BATMAN/SM,BATMAN/SPIDER-MAN,1997
BATTLE,BATTLE,1951-1960
BAXE,BLACK AXE,1993
BB,BLACK BOLT,2017-2018
BCAT,BLACK CAT,1994
BCAT2,BLACK CAT VOL. 2,2010
BCAT3,BLACK CAT VOL. 3,2019-
BDOOM,BOOKS OF DOOM,2006
BEAST,BEAST,1997
BEASTS,BEASTS,2001
BEYOND,BEYOND!,2006-2007
BFDPB,BABY'S FIRST DEADPOOL BOOK,1998
BFF:BGRIMM&L,BEFORE THE FANTASTIC FOUR: BEN GRIMM & LOGAN,2000
BFF:REED,BEFORE THE FANTASTIC FOUR: REED RICHARDS,2000
BFF:STORMS,BEFORE THE FANTASTIC FOUR: STORMS,2000-2001
BFIELD,BATTLEFIELD,1952-1953
BFORCE,BRUTE FORCE,1990
BG,BLACK GOLIATH,1976
BGROUND,BATTLEGROUND,1954-1957
BH6,BIG HERO 6,2008-2009
BHOOD,BROTHERHOOD,2001-2002
BICM/W,BREAKING INTO COMICS THE MARVEL WAY,2010
BIZADV,BIZARRE ADVENTURES (MAGAZINE),1981-1983
